timestamp,open,high,low,close,volume,funding_rate
1774391100000,2148.6,2148.8,2146.2,2148.8,178.83,0.0
1774391160000,2148.9,2149.7,2148.2,2149.7,37.6225,0.0
1774391220000,2149.7,2149.7,2148.8,2148.8,12.1927,0.0
1774391280000,2148.7,2149.9,2148.1,2148.2,26.2429,0.0
1774391340000,2148.1,2148.1,2144.7,2145.4,65.297,0.0
1774391400000,2145.4,2145.4,2139.9,2142.7,731.1602,0.0
1774391460000,2142.7,2144.1,2142.5,2143.5,42.0867,0.0
1774391520000,2143.6,2144.9,2143.6,2144.9,5.091,0.0
1774391580000,2144.9,2146.4,2142.6,2142.6,75.9598,0.0
1774391640000,2142.7,2142.7,2141.7,2142.1,30.965,0.0
1774391700000,2142.1,2142.1,2141.6,2142.0,14.5576,0.0
1774391760000,2142.0,2143.3,2142.0,2143.1,113.2288,0.0
1774391820000,2143.1,2144.1,2142.9,2143.3,24.3622,0.0
1774391880000,2143.3,2144.4,2143.2,2143.8,3.9985,0.0
1774391940000,2143.6,2143.8,2142.4,2143.6,451.4944,0.0
1774392000000,2143.6,2143.7,2142.9,2143.7,5.2182,0.0
1774392060000,2143.7,2144.1,2143.4,2143.4,18.4517,0.0
1774392120000,2143.4,2144.3,2143.3,2144.3,0.5113,0.0
1774392180000,2144.3,2144.7,2144.2,2144.6,13.0273,0.0
1774392240000,2144.7,2144.9,2143.5,2143.6,9.0708,0.0
1774392300000,2143.6,2144.8,2143.5,2144.8,47.6894,0.0
1774392360000,2144.8,2145.0,2143.2,2143.2,30.9097,0.0
1774392420000,2143.2,2145.4,2142.8,2144.8,30.2673,0.0
1774392480000,2144.9,2144.9,2142.6,2142.9,8.076,0.0
1774392540000,2142.9,2144.9,2142.8,2144.9,13.5847,0.0
1774392600000,2145.0,2145.1,2144.2,2144.3,15.4521,0.0
1774392660000,2144.3,2145.2,2144.0,2145.2,15.2436,0.0
1774392720000,2145.3,2145.4,2143.7,2143.8,15.7822,0.0
1774392780000,2143.8,2146.3,2143.4,2146.0,79.874,0.0
1774392840000,2146.0,2146.0,2144.2,2144.4,298.167,0.0
1774392900000,2144.5,2146.1,2144.2,2146.1,22.6705,0.0
1774392960000,2146.3,2146.3,2145.5,2146.0,7.3528,0.0
1774393020000,2146.0,2146.0,2144.7,2144.7,0.806,0.0
1774393080000,2144.8,2146.8,2144.8,2146.8,23.7181,0.0
1774393140000,2146.8,2146.8,2144.6,2144.6,3.794,0.0
1774393200000,2144.6,2145.8,2142.8,2143.5,73.9091,0.0
1774393260000,2143.6,2144.3,2143.2,2144.0,10.2187,1.25e-05
1774393320000,2143.8,2144.2,2143.2,2144.1,14.4887,1.25e-05
1774393380000,2144.2,2145.5,2144.1,2144.2,10.746,1.25e-05
1774393440000,2144.3,2146.0,2144.2,2145.4,40.9273,1.25e-05
1774393500000,2145.5,2145.7,2145.2,2145.4,15.1643,1.25e-05
1774393560000,2145.6,2147.0,2144.3,2146.5,2065.604,1.25e-05
1774393620000,2146.4,2146.4,2145.5,2146.1,87.3153,1.25e-05
1774393680000,2146.1,2148.0,2146.1,2148.0,44.9415,1.25e-05
1774393740000,2148.0,2151.5,2148.0,2151.5,272.0699,1.25e-05
1774393800000,2151.5,2151.5,2149.6,2149.8,31.7903,1.25e-05
1774393860000,2149.9,2150.2,2149.5,2150.2,48.8703,1.25e-05
1774393920000,2150.2,2150.6,2148.9,2149.0,41.8458,1.25e-05
1774393980000,2149.0,2149.9,2148.9,2149.7,28.0022,1.25e-05
1774394040000,2149.7,2150.4,2149.3,2149.5,140.0368,1.25e-05
1774394100000,2149.6,2150.4,2149.3,2150.1,47.5189,1.25e-05
1774394160000,2150.1,2150.8,2149.9,2150.7,117.0873,1.25e-05
1774394220000,2150.8,2151.4,2150.7,2151.4,27.6225,1.25e-05
1774394280000,2151.3,2151.3,2149.5,2149.5,10.7184,1.25e-05
1774394340000,2149.6,2150.1,2149.1,2150.1,106.1889,1.25e-05
1774394400000,2150.1,2150.7,2149.4,2150.7,108.33,1.25e-05
1774394460000,2150.7,2154.6,2149.9,2154.0,183.0315,1.25e-05
1774394520000,2154.2,2155.0,2153.1,2153.3,263.0939,1.25e-05
1774394580000,2153.4,2153.4,2151.6,2152.5,207.0781,1.25e-05
1774394640000,2152.6,2154.8,2152.3,2154.8,69.0506,1.25e-05
1774394700000,2154.8,2157.6,2154.7,2157.6,498.3666,1.25e-05
1774394760000,2157.6,2157.6,2156.2,2157.6,469.1734,1.25e-05
1774394820000,2157.6,2159.6,2157.3,2159.1,662.8573,1.25e-05
1774394880000,2159.2,2159.7,2158.2,2159.4,110.6685,1.25e-05
1774394940000,2159.6,2159.6,2158.4,2158.7,136.078,1.25e-05
1774395000000,2158.8,2161.9,2158.8,2159.2,400.888,1.25e-05
1774395060000,2159.5,2162.1,2159.5,2161.6,211.3414,1.25e-05
1774395120000,2161.7,2162.3,2160.2,2161.1,186.6365,1.25e-05
1774395180000,2161.2,2161.3,2159.7,2160.5,245.3844,1.25e-05
