timestamp,open,high,low,close,volume,funding_rate
1774391100000,70417.0,70417.0,70335.0,70355.0,36.89682,0.0
1774391160000,70355.0,70380.0,70335.0,70380.0,12.63736,0.0
1774391220000,70380.0,70394.0,70348.0,70359.0,34.66491,0.0
1774391280000,70359.0,70396.0,70341.0,70342.0,19.01029,0.0
1774391340000,70342.0,70342.0,70184.0,70211.0,30.80452,0.0
1774391400000,70212.0,70224.0,70108.0,70202.0,28.51851,0.0
1774391460000,70202.0,70238.0,70183.0,70222.0,28.15654,0.0
1774391520000,70223.0,70249.0,70222.0,70246.0,63.7209,0.0
1774391580000,70247.0,70288.0,70198.0,70198.0,8.5597,0.0
1774391640000,70200.0,70200.0,70157.0,70185.0,10.18524,0.0
1774391700000,70185.0,70185.0,70147.0,70174.0,43.0125,0.0
1774391760000,70174.0,70221.0,70173.0,70220.0,3.55127,0.0
1774391820000,70221.0,70245.0,70213.0,70214.0,4.98677,0.0
1774391880000,70214.0,70250.0,70210.0,70224.0,3.01801,0.0
1774391940000,70224.0,70233.0,70213.0,70232.0,1.95904,0.0
1774392000000,70233.0,70245.0,70212.0,70245.0,9.46834,0.0
1774392060000,70246.0,70252.0,70239.0,70239.0,3.66947,0.0
1774392120000,70239.0,70266.0,70236.0,70255.0,1.20076,0.0
1774392180000,70255.0,70288.0,70254.0,70288.0,3.97092,0.0
1774392240000,70288.0,70288.0,70264.0,70266.0,17.35971,0.0
1774392300000,70266.0,70292.0,70265.0,70292.0,23.10483,0.0
1774392360000,70292.0,70292.0,70237.0,70237.0,8.75723,0.0
1774392420000,70237.0,70300.0,70219.0,70288.0,9.72475,0.0
1774392480000,70288.0,70292.0,70238.0,70245.0,8.5835,0.0
1774392540000,70245.0,70314.0,70245.0,70314.0,12.55538,0.0
1774392600000,70314.0,70320.0,70314.0,70316.0,4.50913,0.0
1774392660000,70316.0,70325.0,70300.0,70325.0,1.44997,0.0
1774392720000,70325.0,70343.0,70300.0,70307.0,2.65462,0.0
1774392780000,70308.0,70365.0,70247.0,70364.0,8.22838,0.0
1774392840000,70365.0,70365.0,70317.0,70317.0,2.16099,0.0
1774392900000,70317.0,70341.0,70315.0,70341.0,4.7254,0.0
1774392960000,70342.0,70349.0,70335.0,70346.0,1.1848,0.0
1774393020000,70346.0,70346.0,70313.0,70314.0,1.23357,0.0
1774393080000,70314.0,70344.0,70313.0,70337.0,5.96926,0.0
1774393140000,70337.0,70337.0,70289.0,70290.0,5.26823,0.0
1774393200000,70290.0,70334.0,70244.0,70263.0,6.88886,0.0
1774393260000,70263.0,70286.0,70249.0,70271.0,9.96045,1.25e-05
1774393320000,70271.0,70272.0,70249.0,70260.0,0.67795,1.25e-05
1774393380000,70261.0,70286.0,70255.0,70259.0,3.91313,1.25e-05
1774393440000,70259.0,70314.0,70252.0,70300.0,4.15321,1.25e-05
1774393500000,70300.0,70300.0,70279.0,70288.0,1.95998,1.25e-05
1774393560000,70289.0,70306.0,70256.0,70296.0,1.20738,1.25e-05
1774393620000,70296.0,70310.0,70296.0,70309.0,3.29277,1.25e-05
1774393680000,70309.0,70388.0,70308.0,70388.0,6.53587,1.25e-05
1774393740000,70388.0,70511.0,70386.0,70510.0,33.28772,1.25e-05
1774393800000,70511.0,70527.0,70496.0,70502.0,15.48707,1.25e-05
1774393860000,70503.0,70532.0,70496.0,70532.0,5.13154,1.25e-05
1774393920000,70532.0,70562.0,70503.0,70518.0,122.16419,1.25e-05
1774393980000,70519.0,70538.0,70505.0,70538.0,14.78358,1.25e-05
1774394040000,70538.0,70549.0,70513.0,70514.0,2.50048,1.25e-05
1774394100000,70515.0,70544.0,70501.0,70532.0,8.08221,1.25e-05
1774394160000,70533.0,70564.0,70525.0,70563.0,60.64512,1.25e-05
1774394220000,70564.0,70564.0,70539.0,70542.0,12.44323,1.25e-05
1774394280000,70543.0,70543.0,70499.0,70500.0,7.70886,1.25e-05
1774394340000,70500.0,70506.0,70488.0,70506.0,34.88234,1.25e-05
1774394400000,70506.0,70508.0,70483.0,70500.0,10.14438,1.25e-05
1774394460000,70500.0,70700.0,70485.0,70665.0,87.98707,1.25e-05
1774394520000,70665.0,70673.0,70580.0,70581.0,23.97751,1.25e-05
1774394580000,70581.0,70581.0,70509.0,70527.0,23.3436,1.25e-05
1774394640000,70528.0,70538.0,70502.0,70509.0,49.89905,1.25e-05
1774394700000,70509.0,70618.0,70509.0,70618.0,10.47152,1.25e-05
1774394760000,70619.0,70682.0,70618.0,70674.0,28.15473,1.25e-05
1774394820000,70675.0,70736.0,70675.0,70718.0,64.61759,1.25e-05
1774394880000,70719.0,70739.0,70701.0,70731.0,13.59422,1.25e-05
1774394940000,70730.0,70739.0,70704.0,70731.0,25.74912,1.25e-05
