timestamp,open,high,low,close,volume,funding_rate
1774391160000,1.4121,1.4122,1.412,1.4122,705.0,0.0
1774391220000,1.4124,1.4124,1.4122,1.4122,436.0,0.0
1774391280000,1.4122,1.4124,1.4122,1.4123,824.0,0.0
1774391340000,1.4123,1.4123,1.41,1.41,1582.0,0.0
1774391400000,1.409,1.4093,1.4072,1.4093,27060.0,0.0
1774391460000,1.4096,1.4097,1.4096,1.4097,183.0,0.0
1774391520000,1.4098,1.4098,1.4098,1.4098,24.0,0.0
1774391580000,1.4103,1.4104,1.4099,1.4099,3982.0,0.0
1774391640000,1.4089,1.4089,1.4082,1.4083,1265.0,0.0
1774391700000,1.4086,1.4086,1.4084,1.4084,7910.0,0.0
1774391760000,1.4094,1.4094,1.4089,1.4089,7503.0,0.0
1774391820000,1.4089,1.4092,1.4085,1.4087,7019.0,0.0
1774391880000,1.4088,1.4088,1.4088,1.4088,78.0,0.0
1774391940000,1.4081,1.4085,1.4081,1.4085,670.0,0.0
1774392000000,1.4082,1.4088,1.4081,1.4088,830.0,0.0
1774392060000,1.4089,1.4089,1.4089,1.4089,2285.0,0.0
1774392120000,1.4089,1.4094,1.4089,1.4093,2931.0,0.0
1774392180000,1.4093,1.4094,1.4093,1.4094,1425.0,0.0
1774392240000,1.4096,1.4096,1.409,1.4093,1179.0,0.0
1774392300000,1.4091,1.4098,1.4091,1.4098,1998.0,0.0
1774392360000,1.4098,1.4099,1.4096,1.4098,19182.0,0.0
1774392420000,1.4103,1.4113,1.4103,1.4109,1708.0,0.0
1774392480000,1.4107,1.4107,1.4097,1.4099,10128.0,0.0
1774392540000,1.4108,1.4109,1.4108,1.4109,152.0,0.0
1774392600000,1.4112,1.4113,1.4111,1.4111,320.0,0.0
1774392660000,1.4115,1.4115,1.4115,1.4115,2329.0,0.0
1774392720000,1.4115,1.4115,1.4115,1.4115,0.0,0.0
1774392780000,1.4098,1.4107,1.4098,1.4107,247.0,0.0
1774392840000,1.4109,1.4109,1.4109,1.4109,391.0,0.0
1774392900000,1.41,1.4103,1.41,1.4102,295.0,0.0
1774392960000,1.4106,1.4106,1.4106,1.4106,230.0,0.0
1774393020000,1.4106,1.4106,1.4102,1.4102,4466.0,0.0
1774393080000,1.4104,1.4111,1.4104,1.4111,47.0,0.0
1774393140000,1.4108,1.411,1.4108,1.411,888.0,0.0
1774393200000,1.4105,1.411,1.4098,1.4098,11378.0,0.0
1774393260000,1.4097,1.4101,1.4097,1.4101,12561.0,-1.26096e-05
1774393320000,1.4099,1.4099,1.4099,1.4099,934.0,-1.26096e-05
1774393380000,1.4095,1.41,1.4095,1.41,4707.0,-1.26096e-05
1774393440000,1.4097,1.4099,1.4097,1.4099,998.0,-1.26096e-05
1774393500000,1.4096,1.4096,1.4096,1.4096,779.0,-1.26096e-05
1774393560000,1.4092,1.4092,1.4084,1.4092,4613.0,-1.26096e-05
1774393620000,1.4093,1.4093,1.4089,1.4089,2247.0,-1.26096e-05
1774393680000,1.4093,1.4103,1.4093,1.4103,2334.0,-1.26096e-05
1774393740000,1.4106,1.4124,1.4106,1.4112,7239.0,-1.26096e-05
1774393800000,1.412,1.4121,1.412,1.4121,407.0,-1.26096e-05
1774393860000,1.4117,1.4122,1.4115,1.4122,55467.0,-1.26096e-05
1774393920000,1.412,1.4124,1.4113,1.4113,409.0,-1.26096e-05
1774393980000,1.4116,1.4116,1.4115,1.4116,9979.0,-1.26096e-05
1774394040000,1.4114,1.4114,1.4108,1.4108,4486.0,-1.26096e-05
1774394100000,1.4109,1.4109,1.4109,1.4109,307.0,-1.26096e-05
1774394160000,1.4113,1.4113,1.4113,1.4113,98.0,-1.26096e-05
1774394220000,1.4118,1.4124,1.4118,1.4119,949.0,-1.26096e-05
1774394280000,1.4117,1.4117,1.4117,1.4117,71.0,-1.26096e-05
1774394340000,1.4116,1.4118,1.4116,1.4118,7032.0,-1.26096e-05
1774394400000,1.4116,1.4127,1.4116,1.4127,1384.0,-1.26096e-05
1774394460000,1.4129,1.4141,1.4129,1.4141,22744.0,-1.26096e-05
1774394520000,1.4142,1.4144,1.4133,1.4133,2195.0,-1.26096e-05
1774394580000,1.4127,1.4127,1.412,1.412,4829.0,-1.26096e-05
1774394640000,1.4123,1.4123,1.412,1.4123,445.0,-1.26096e-05
1774394700000,1.413,1.413,1.413,1.413,42.0,-1.26096e-05
1774394760000,1.4143,1.4152,1.4143,1.4151,20715.0,-1.26096e-05
1774394820000,1.4152,1.4165,1.4152,1.4165,14414.0,-1.26096e-05
1774394880000,1.4165,1.4165,1.4158,1.4161,6163.0,-1.26096e-05
1774394940000,1.4161,1.4161,1.4156,1.4156,2495.0,-1.26096e-05
1774395000000,1.416,1.416,1.4158,1.4159,2872.0,-1.26096e-05
1774395060000,1.4159,1.4164,1.4159,1.4164,3205.0,-1.26096e-05
1774395120000,1.4164,1.4164,1.4154,1.4155,8167.0,-1.26096e-05
1774395180000,1.4155,1.4155,1.4145,1.4149,3072.0,-1.26096e-05
1774395240000,1.4148,1.4156,1.4148,1.4152,1687.0,-1.26096e-05
1774395300000,1.4157,1.4157,1.4157,1.4157,116.0,-1.26096e-05
1774395360000,1.4154,1.4154,1.4154,1.4154,805.0,-1.26096e-05
1774395420000,1.416,1.4172,1.416,1.4172,7187.0,-1.26096e-05
1774395480000,1.4171,1.4171,1.4162,1.4162,166.0,-1.26096e-05
1774395540000,1.4163,1.4168,1.4159,1.4167,10993.0,-1.26096e-05
1774395600000,1.4167,1.4167,1.4167,1.4167,14.0,-1.26096e-05
1774395660000,1.4157,1.4157,1.4157,1.4157,151.0,-1.26096e-05
1774395720000,1.4158,1.4164,1.4158,1.4162,9076.0,-1.26096e-05
1774395780000,1.4147,1.4147,1.4147,1.4147,8.0,-1.26096e-05
1774395840000,1.415,1.415,1.4143,1.4143,8062.0,-1.26096e-05
1774395900000,1.4145,1.4154,1.4145,1.4152,4745.0,-1.26096e-05
1774395960000,1.4154,1.4154,1.4147,1.4147,1562.0,-1.26096e-05
1774396020000,1.4148,1.4148,1.414,1.414,3108.0,-1.26096e-05
1774396080000,1.414,1.4145,1.414,1.4145,13621.0,-1.26096e-05
1774396140000,1.4153,1.4154,1.4153,1.4154,51.0,-1.26096e-05
1774396200000,1.4154,1.4154,1.415,1.415,3042.0,-1.26096e-05
1774396260000,1.415,1.4151,1.415,1.4151,2667.0,-1.26096e-05
1774396320000,1.4155,1.4155,1.4149,1.4149,1241.0,-1.26096e-05
1774396380000,1.4149,1.4151,1.4148,1.4151,34.0,-1.26096e-05
1774396440000,1.415,1.4151,1.415,1.4151,1856.0,-1.26096e-05
1774396500000,1.4149,1.4153,1.4149,1.4153,789.0,-1.26096e-05
1774396560000,1.4153,1.4153,1.4153,1.4153,0.0,-1.26096e-05
1774396620000,1.4147,1.4148,1.4147,1.4148,340.0,-1.26096e-05
1774396680000,1.415,1.4151,1.415,1.415,444.0,-1.26096e-05
1774396740000,1.4151,1.4151,1.4149,1.415,4959.0,-1.26096e-05
1774396800000,1.415,1.4159,1.4146,1.4146,29424.0,-1.26096e-05
1774396860000,1.4145,1.4148,1.4141,1.4148,10412.0,-8.2442e-06
1774396920000,1.4145,1.4155,1.4145,1.415,39989.0,-8.2442e-06
1774396980000,1.415,1.415,1.414,1.414,3665.0,-8.2442e-06
1774397040000,1.4139,1.4145,1.4137,1.4145,482.0,-8.2442e-06
1774397100000,1.4145,1.4145,1.4145,1.4145,0.0,-8.2442e-06
1774397160000,1.415,1.4151,1.4138,1.4151,5122.0,-8.2442e-06
1774397220000,1.4154,1.4154,1.4154,1.4154,1086.0,-8.2442e-06
1774397280000,1.4162,1.4165,1.416,1.4163,426.0,-8.2442e-06
1774397340000,1.4157,1.4157,1.4156,1.4157,2093.0,-8.2442e-06
1774397400000,1.4165,1.4172,1.4164,1.4172,594.0,-8.2442e-06
1774397460000,1.4175,1.4195,1.4175,1.4189,12406.0,-8.2442e-06
1774397520000,1.4188,1.4194,1.4185,1.4194,8913.0,-8.2442e-06
1774397580000,1.4191,1.4191,1.418,1.4187,3301.0,-8.2442e-06
1774397640000,1.419,1.4203,1.419,1.4203,8089.0,-8.2442e-06
1774397700000,1.4201,1.4201,1.4186,1.4186,13800.0,-8.2442e-06
1774397760000,1.4187,1.4189,1.4183,1.4183,782.0,-8.2442e-06
1774397820000,1.4179,1.4179,1.417,1.417,409.0,-8.2442e-06
1774397880000,1.4169,1.4172,1.4161,1.4172,5082.0,-8.2442e-06
1774397940000,1.4168,1.417,1.4167,1.4169,2024.0,-8.2442e-06
1774398000000,1.4169,1.4174,1.4166,1.4166,13842.0,-8.2442e-06
1774398060000,1.4168,1.4169,1.4165,1.4165,2846.0,-8.2442e-06
1774398120000,1.4164,1.4165,1.4164,1.4165,428.0,-8.2442e-06
1774398180000,1.417,1.417,1.417,1.417,17.0,-8.2442e-06
1774398240000,1.4169,1.417,1.4167,1.417,33156.0,-8.2442e-06
1774398300000,1.4173,1.4173,1.4172,1.4172,1774.0,-8.2442e-06
1774398360000,1.4174,1.4176,1.4173,1.4173,5999.0,-8.2442e-06
1774398420000,1.4167,1.4173,1.4167,1.4173,321.0,-8.2442e-06
1774398480000,1.4174,1.4174,1.4174,1.4174,9.0,-8.2442e-06
1774398540000,1.4164,1.4164,1.4158,1.4161,22347.0,-8.2442e-06
1774398600000,1.416,1.416,1.412,1.4146,18004.0,-8.2442e-06
1774398660000,1.4146,1.417,1.4144,1.417,2264.0,-8.2442e-06
1774398720000,1.4168,1.4172,1.4165,1.4172,1409.0,-8.2442e-06
1774398780000,1.4179,1.4186,1.4176,1.4186,7104.0,-8.2442e-06
1774398840000,1.4192,1.4194,1.4189,1.4189,1745.0,-8.2442e-06
1774398900000,1.419,1.4194,1.4187,1.4187,762.0,-8.2442e-06
1774398960000,1.419,1.4193,1.4186,1.4186,853.0,-8.2442e-06
1774399020000,1.4187,1.4207,1.4187,1.4199,107758.0,-8.2442e-06
1774399080000,1.4204,1.4209,1.4203,1.4209,14866.0,-8.2442e-06
1774399140000,1.4209,1.4219,1.4209,1.4211,11731.0,-8.2442e-06
1774399200000,1.4216,1.4217,1.4215,1.4215,2950.0,-8.2442e-06
1774399260000,1.4215,1.4227,1.4215,1.4225,17119.0,-8.2442e-06
1774399320000,1.4227,1.4243,1.4227,1.4243,26576.0,-8.2442e-06
1774399380000,1.4242,1.4242,1.4225,1.4225,7485.0,-8.2442e-06
1774399440000,1.4225,1.4225,1.4218,1.4218,1404.0,-8.2442e-06
1774399500000,1.4223,1.4223,1.4219,1.4221,2688.0,-8.2442e-06
1774399560000,1.422,1.4228,1.4218,1.4227,7063.0,-8.2442e-06
1774399620000,1.4229,1.4237,1.4228,1.4229,16148.0,-8.2442e-06
1774399680000,1.4229,1.4231,1.4219,1.4219,7668.0,-8.2442e-06
1774399740000,1.4225,1.4225,1.4213,1.4213,2868.0,-8.2442e-06
1774399800000,1.4208,1.4208,1.4196,1.4199,10470.0,-8.2442e-06
1774399860000,1.4199,1.4202,1.4196,1.4202,9015.0,-8.2442e-06
1774399920000,1.4202,1.4209,1.4201,1.4204,12389.0,-8.2442e-06
1774399980000,1.4207,1.4209,1.4207,1.4207,11883.0,-8.2442e-06
1774400040000,1.4207,1.4208,1.4204,1.4204,5305.0,-8.2442e-06
1774400100000,1.4205,1.4206,1.4195,1.4195,1595.0,-8.2442e-06
1774400160000,1.4198,1.4203,1.4198,1.4203,451.0,-8.2442e-06
1774400220000,1.4204,1.4204,1.4203,1.4204,2434.0,-8.2442e-06
1774400280000,1.4204,1.4204,1.4204,1.4204,8.0,-8.2442e-06
1774400340000,1.4202,1.4202,1.4198,1.4198,1950.0,-8.2442e-06
1774400400000,1.4195,1.4199,1.4194,1.4196,72476.0,-8.2442e-06
1774400460000,1.4195,1.4195,1.4182,1.4186,16883.0,-4.2822e-06
1774400520000,1.4193,1.4197,1.4193,1.4197,2474.0,-4.2822e-06
1774400580000,1.4192,1.4197,1.4192,1.4197,380.0,-4.2822e-06
1774400640000,1.4187,1.4187,1.4186,1.4186,2149.0,-4.2822e-06
1774400700000,1.4188,1.4188,1.4188,1.4188,56.0,-4.2822e-06
1774400760000,1.4192,1.4192,1.418,1.418,11893.0,-4.2822e-06
1774400820000,1.4179,1.4179,1.4175,1.4178,4235.0,-4.2822e-06
1774400880000,1.4179,1.4179,1.4174,1.4174,3561.0,-4.2822e-06
1774400940000,1.4173,1.4189,1.4173,1.4189,1935.0,-4.2822e-06
1774401000000,1.4193,1.4195,1.4186,1.4188,8170.0,-4.2822e-06
1774401060000,1.4196,1.4217,1.4196,1.4217,4898.0,-4.2822e-06
1774401120000,1.4204,1.4204,1.4202,1.4202,36.0,-4.2822e-06
1774401180000,1.4196,1.4197,1.4196,1.4197,8478.0,-4.2822e-06
1774401240000,1.4184,1.4184,1.4181,1.4181,1829.0,-4.2822e-06
1774401300000,1.4182,1.4182,1.4172,1.4172,7736.0,-4.2822e-06
1774401360000,1.4173,1.4179,1.4172,1.4179,9498.0,-4.2822e-06
1774401420000,1.4172,1.4172,1.4162,1.4162,16678.0,-4.2822e-06
1774401480000,1.4164,1.4167,1.416,1.416,5497.0,-4.2822e-06
1774401540000,1.416,1.416,1.415,1.4153,24175.0,-4.2822e-06
1774401600000,1.4155,1.4162,1.4155,1.4162,4567.0,-4.2822e-06
1774401660000,1.4162,1.4176,1.4162,1.4176,9429.0,-4.2822e-06
1774401720000,1.4176,1.4181,1.4168,1.4168,5045.0,-4.2822e-06
1774401780000,1.4166,1.4166,1.4164,1.4166,2047.0,-4.2822e-06
1774401840000,1.4164,1.4181,1.4164,1.4171,517683.0,-4.2822e-06
1774401900000,1.417,1.417,1.417,1.417,17.0,-4.2822e-06
1774401960000,1.4173,1.4173,1.4172,1.4172,4716.0,-4.2822e-06
1774402020000,1.4175,1.4175,1.4175,1.4175,753.0,-4.2822e-06
1774402080000,1.4176,1.4181,1.4176,1.4181,8528.0,-4.2822e-06
1774402140000,1.4182,1.4182,1.4182,1.4182,50.0,-4.2822e-06
1774402200000,1.4184,1.4188,1.4183,1.4185,1035.0,-4.2822e-06
1774402260000,1.4178,1.4178,1.4175,1.4175,2926.0,-4.2822e-06
1774402320000,1.4175,1.4175,1.417,1.417,270.0,-4.2822e-06
1774402380000,1.417,1.417,1.417,1.417,76.0,-4.2822e-06
1774402440000,1.4174,1.4175,1.4171,1.4171,3108.0,-4.2822e-06
1774402500000,1.4178,1.418,1.4176,1.4179,25754.0,-4.2822e-06
1774402560000,1.4186,1.4194,1.4186,1.4194,7162.0,-4.2822e-06
1774402620000,1.4195,1.4195,1.4186,1.4187,8883.0,-4.2822e-06
1774402680000,1.4187,1.4189,1.4186,1.4189,1304.0,-4.2822e-06
1774402740000,1.4183,1.4183,1.4183,1.4183,4602.0,-4.2822e-06
1774402800000,1.4183,1.4188,1.4179,1.4188,11604.0,-4.2822e-06
1774402860000,1.4188,1.419,1.4178,1.4189,14896.0,-4.2822e-06
1774402920000,1.4189,1.4213,1.4189,1.4209,20579.0,-4.2822e-06
1774402980000,1.421,1.4213,1.421,1.4213,94.0,-4.2822e-06
1774403040000,1.4206,1.4206,1.4199,1.4199,689.0,-4.2822e-06
1774403100000,1.4198,1.4198,1.4195,1.4195,397.0,-4.2822e-06
1774403160000,1.419,1.419,1.4186,1.419,1531.0,-4.2822e-06
1774403220000,1.4186,1.4187,1.4186,1.4187,1244.0,-4.2822e-06
1774403280000,1.4188,1.4191,1.4186,1.4186,418.0,-4.2822e-06
1774403340000,1.4188,1.4188,1.4188,1.4188,12.0,-4.2822e-06
1774403400000,1.4188,1.4193,1.4188,1.4193,316.0,-4.2822e-06
1774403460000,1.4196,1.4196,1.4181,1.4181,134.0,-4.2822e-06
1774403520000,1.4177,1.4179,1.4177,1.4179,636.0,-4.2822e-06
