timestamp,open,high,low,close,volume,funding_rate
1774391100000,90.489,90.49,90.4,90.438,357.83,0.0
1774391160000,90.443,90.478,90.42,90.478,254.42,0.0
1774391220000,90.49,90.49,90.45,90.46,204.02,0.0
1774391280000,90.457,90.513,90.45,90.451,125.25,0.0
1774391340000,90.448,90.448,90.23,90.27,994.36,0.0
1774391400000,90.27,90.27,90.076,90.207,29769.32,0.0
1774391460000,90.193,90.228,90.179,90.221,381.17,0.0
1774391520000,90.233,90.269,90.227,90.268,45.99,0.0
1774391580000,90.268,90.407,90.234,90.234,25595.17,0.0
1774391640000,90.232,90.232,90.144,90.203,414.71,0.0
1774391700000,90.204,90.204,90.158,90.179,790.56,0.0
1774391760000,90.179,90.225,90.179,90.211,871.78,0.0
1774391820000,90.212,90.233,90.18,90.218,346.43,0.0
1774391880000,90.219,90.283,90.219,90.234,835.0,0.0
1774391940000,90.219,90.22,90.18,90.22,152.4,0.0
1774392000000,90.22,90.22,90.198,90.22,1992.07,0.0
1774392060000,90.239,90.242,90.234,90.234,156.27,0.0
1774392120000,90.228,90.26,90.228,90.244,356.53,0.0
1774392180000,90.244,90.276,90.244,90.276,115.44,0.0
1774392240000,90.276,90.29,90.252,90.267,228.47,0.0
1774392300000,90.262,90.326,90.262,90.326,172.4,0.0
1774392360000,90.33,90.33,90.245,90.245,370.18,0.0
1774392420000,90.232,90.343,90.232,90.326,345.89,0.0
1774392480000,90.32,90.32,90.22,90.22,212.21,0.0
1774392540000,90.233,90.305,90.233,90.305,477.76,0.0
1774392600000,90.322,90.322,90.301,90.31,115.89,0.0
1774392660000,90.307,90.335,90.306,90.335,245.77,0.0
1774392720000,90.336,90.336,90.278,90.278,104.94,0.0
1774392780000,90.273,90.324,90.192,90.32,26422.06,0.0
1774392840000,90.319,90.319,90.246,90.246,382.1,0.0
1774392900000,90.243,90.295,90.243,90.294,402.98,0.0
1774392960000,90.295,90.3,90.264,90.287,117.38,0.0
1774393020000,90.288,90.288,90.225,90.239,215.05,0.0
1774393080000,90.24,90.326,90.24,90.308,793.29,0.0
